movie_title,duration
Star Wars: Episode VII - The Force Awakens             ,
Tangled ,100
Quantum of Solace ,106
John Carter ,132
Pirates of the Caribbean: On Stranger Tides ,136
Avengers: Age of Ultron ,141
Man of Steel ,143
Spectre ,148
The Chronicles of Narnia: Prince Caspian ,150
The Lone Ranger ,150
Pirates of the Caribbean: Dead Man's Chest ,151
Harry Potter and the Half-Blood Prince ,153
Spider-Man 3 ,156
The Dark Knight Rises ,164
Pirates of the Caribbean: At World's End ,169
Superman Returns ,169
The Avengers ,173
Avatar ,178
Batman v Superman: Dawn of Justice ,183
